Delhi,Timestamp
1432.14,2022-03-01 02:30:00
1422.35,2022-03-01 02:45:00
1473.55,2022-03-01 03:00:00
1464.34,2022-03-01 03:15:00
1383.63,2022-03-01 03:30:00
1455.93,2022-03-01 03:45:00
1463.59,2022-03-01 04:00:00
1475.99,2022-03-01 04:15:00
1529.79,2022-03-01 04:30:00
1585.6,2022-03-01 04:45:00
1747.71,2022-03-01 05:00:00
1793.76,2022-03-01 05:15:00
1982.01,2022-03-01 05:30:00
2243.34,2022-03-01 05:45:00
2359.97,2022-03-01 06:00:00
2670.77,2022-03-01 06:15:00
2820.28,2022-03-01 06:30:00
3305.73,2022-03-01 06:45:00
3551.89,2022-03-01 07:00:00
3590.93,2022-03-01 07:15:00
4042.33,2022-03-01 07:30:00
4038.57,2022-03-01 07:45:00
3984.61,2022-03-01 08:00:00
3899.39,2022-03-01 08:15:00
3643.43,2022-03-01 08:30:00
3603.0,2022-03-01 08:45:00
3305.32,2022-03-01 09:00:00
2871.79,2022-03-01 09:15:00
2618.42,2022-03-01 09:30:00
2283.45,2022-03-01 09:45:00
1971.38,2022-03-01 10:00:00
1678.57,2022-03-01 10:15:00
1429.34,2022-03-01 10:30:00
1145.44,2022-03-01 10:45:00
1079.97,2022-03-01 11:00:00
859.81,2022-03-01 11:15:00
785.66,2022-03-01 11:30:00
736.55,2022-03-01 11:45:00
683.57,2022-03-01 12:00:00
645.84,2022-03-01 12:15:00
642.54,2022-03-01 12:30:00
590.43,2022-03-01 12:45:00
639.52,2022-03-01 13:00:00
621.16,2022-03-01 13:15:00
672.38,2022-03-01 13:30:00
694.15,2022-03-01 13:45:00
711.06,2022-03-01 14:00:00
799.62,2022-03-01 14:15:00
838.0,2022-03-01 14:30:00
973.2,2022-03-01 14:45:00
1145.96,2022-03-01 15:00:00
1240.76,2022-03-01 15:15:00
1442.3,2022-03-01 15:30:00
1654.55,2022-03-01 15:45:00
1908.65,2022-03-01 16:00:00
2241.7,2022-03-01 16:15:00
2551.34,2022-03-01 16:30:00
2826.54,2022-03-01 16:45:00
3192.95,2022-03-01 17:00:00
3427.86,2022-03-01 17:15:00
3785.65,2022-03-01 17:30:00
4011.7,2022-03-01 17:45:00
4234.77,2022-03-01 18:00:00
4344.57,2022-03-01 18:15:00
4638.15,2022-03-01 18:30:00
4542.02,2022-03-01 18:45:00
4686.92,2022-03-01 19:00:00
4763.6,2022-03-01 19:15:00
4644.3,2022-03-01 19:30:00
4416.11,2022-03-01 19:45:00
4123.29,2022-03-01 20:00:00
3912.2,2022-03-01 20:15:00
3557.55,2022-03-01 20:30:00
3289.69,2022-03-01 20:45:00
2972.42,2022-03-01 21:00:00
2817.95,2022-03-01 21:15:00
2422.78,2022-03-01 21:30:00
2080.2,2022-03-01 21:45:00
1861.67,2022-03-01 22:00:00
1625.71,2022-03-01 22:15:00
1421.6,2022-03-01 22:30:00
1305.82,2022-03-01 22:45:00
1086.28,2022-03-01 23:00:00
991.71,2022-03-01 23:15:00
872.4,2022-03-01 23:30:00
835.5,2022-03-01 23:45:00
1297.64,2023-03-01 00:00:00
1320.65,2023-03-01 00:15:00
1410.28,2023-03-01 00:30:00
1422.26,2023-03-01 00:45:00
1432.92,2023-03-01 01:00:00
1414.18,2023-03-01 01:15:00
1429.47,2023-03-01 01:30:00
1573.54,2023-03-01 01:45:00
1576.98,2023-03-01 02:00:00
1578.91,2023-03-01 02:15:00
1644.68,2023-03-01 02:30:00
1575.09,2023-03-01 02:45:00
1651.07,2023-03-01 03:00:00
